2023-01-04 05:52:20 status half-installed libaudit1:armhf 1:2.8.5-2ubuntu6
2023-01-04 05:52:20 status unpacked libaudit1:armhf 1:2.8.5-2ubuntu6
2023-01-04 05:52:20 install libblkid1:armhf <none> 2.34-0.1ubuntu9
2023-01-04 05:52:20 status half-installed libblkid1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:20 status unpacked libblkid1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:20 install libbz2-1.0:armhf <none> 1.0.8-2
2023-01-04 05:52:20 status half-installed libbz2-1.0:armhf 1.0.8-2
2023-01-04 05:52:20 status unpacked libbz2-1.0:armhf 1.0.8-2
2023-01-04 05:52:20 install libc-bin:armhf <none> 2.31-0ubuntu9
2023-01-04 05:52:20 status half-installed libc-bin:armhf 2.31-0ubuntu9
2023-01-04 05:52:21 status unpacked libc-bin:armhf 2.31-0ubuntu9
2023-01-04 05:52:21 upgrade libc6:armhf 2.31-0ubuntu9 2.31-0ubuntu9
2023-01-04 05:52:21 status half-configured libc6:armhf 2.31-0ubuntu9
2023-01-04 05:52:21 status unpacked libc6:armhf 2.31-0ubuntu9
2023-01-04 05:52:21 status half-installed libc6:armhf 2.31-0ubuntu9
2023-01-04 05:52:23 status unpacked libc6:armhf 2.31-0ubuntu9
2023-01-04 05:52:23 install libcap-ng0:armhf <none> 0.7.9-2.1build1
2023-01-04 05:52:23 status half-installed libcap-ng0:armhf 0.7.9-2.1build1
2023-01-04 05:52:23 status unpacked libcap-ng0:armhf 0.7.9-2.1build1
2023-01-04 05:52:23 install libcom-err2:armhf <none> 1.45.5-2ubuntu1
2023-01-04 05:52:23 status half-installed libcom-err2:armhf 1.45.5-2ubuntu1
2023-01-04 05:52:23 status unpacked libcom-err2:armhf 1.45.5-2ubuntu1
2023-01-04 05:52:23 install libcrypt1:armhf <none> 1:4.4.10-10ubuntu4
2023-01-04 05:52:23 status half-installed libcrypt1:armhf 1:4.4.10-10ubuntu4
2023-01-04 05:52:23 status unpacked libcrypt1:armhf 1:4.4.10-10ubuntu4
2023-01-04 05:52:23 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.6ubuntu2
2023-01-04 05:52:23 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2023-01-04 05:52:24 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2023-01-04 05:52:24 install libdebconfclient0:armhf <none> 0.251ubuntu1
2023-01-04 05:52:24 status half-installed libdebconfclient0:armhf 0.251ubuntu1
2023-01-04 05:52:24 status unpacked libdebconfclient0:armhf 0.251ubuntu1
2023-01-04 05:52:24 install libext2fs2:armhf <none> 1.45.5-2ubuntu1
2023-01-04 05:52:24 status half-installed libext2fs2:armhf 1.45.5-2ubuntu1
2023-01-04 05:52:24 status unpacked libext2fs2:armhf 1.45.5-2ubuntu1
2023-01-04 05:52:24 install libfdisk1:armhf <none> 2.34-0.1ubuntu9
2023-01-04 05:52:24 status half-installed libfdisk1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:24 status unpacked libfdisk1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:24 install libgcc-s1:armhf <none> 10-20200411-0ubuntu1
2023-01-04 05:52:24 status half-installed libgcc-s1:armhf 10-20200411-0ubuntu1
2023-01-04 05:52:24 status unpacked libgcc-s1:armhf 10-20200411-0ubuntu1
2023-01-04 05:52:24 install libgcrypt20:armhf <none> 1.8.5-5ubuntu1
2023-01-04 05:52:24 status half-installed libgcrypt20:armhf 1.8.5-5ubuntu1
2023-01-04 05:52:24 status unpacked libgcrypt20:armhf 1.8.5-5ubuntu1
2023-01-04 05:52:25 install libgpg-error0:armhf <none> 1.37-1
2023-01-04 05:52:25 status half-installed libgpg-error0:armhf 1.37-1
2023-01-04 05:52:25 status unpacked libgpg-error0:armhf 1.37-1
2023-01-04 05:52:25 install liblz4-1:armhf <none> 1.9.2-2
